"clone ID" Hemisphere area Slice II/III IV V VI Total Type Layers
"AL 407_5" R M 32-34 7 0 0 0 7 UL II/III
"AL 407_6" R M 35-39 0 0 2 5 7 LL V-VI
"AL 407_8" R SS 41-45 0 4 0 5 9 TRANSLAMINAR IV-VI
"AL 407_10" R RSD 52-54 4 0 3 0 7 TRANSLAMINAR II/III-V
"AL 407_11" R SS 56-57 3 0 1 3 7 TRANSLAMINAR II/III-V-VI
"AL 407_12" R RSG 58-64 0 0 0 4 4 LL VI
"AL 407_13" R Au 62-66 0 0 3 0 3 LL V
"AL 407_14" R Vi 64-67 3 1 0 7 11 TRANSLAMINAR II/III-IV-VI
"AL 407_15" R RSG 67-68 4 0 1 0 5 TRANSLAMINAR II/III-V
"AL 407_16" R Au 69-72 3 2 2 3 10 TRANSLAMINAR "II/III to VI"
"AL 447_1" R M 17 0 0 0 5 5 LL VI
"AL 447_2" R Cg 18-23 3 1 1 3 8 TRANSLAMINAR "II/III to VI"
"AL 447_3" R M 20-23 2 1 2 1 6 TRANSLAMINAR "II/III to VI"
"AL 447_5" R SS 25-27 3 1 0 4 8 TRANSLAMINAR II/III-IV-VI
"AL 447_6" R SS 26-28 0 2 1 1 4 TRANSLAMINAR "IV to VI"
"AL 447_7" R M 27-28 0 1 0 2 3 TRANSLAMINAR IV-VI
"AL 447_8" R M 36-37 3 1 0 0 4 UL II/III-IV
"AL 447_9" R RSG 38-40 3 0 0 2 5 TRANSLAMINAR II/III-VI
"AL 447_10" R SS 39-40 6 2 0 0 8 UL II/III-IV
"AL 447_12" R VM 46-48 3 0 1 1 5 TRANSLAMINAR II/III-V-VI
"AL 447_15" L SS 21-22 0 0 0 3 3 LL VI
"AL 447_16" L SS 23-25 1 3 2 3 9 TRANSLAMINAR "II/III to VI"
"AL 447_17" L SS 23-27 2 3 1 0 6 TRANSLAMINAR "II/III to V"
"AL 447_19" L M 26-28 6 3 0 0 9 UL II/III-IV
"AL 447_22" L SS 30-33 3 2 0 2 7 TRANSLAMINAR II/III-IV-VI
"AL 447_23" L SS 35-39 3 3 2 3 11 TRANSLAMINAR "II/III to VI"
"AL 447_24" L VM 38-39 5 1 0 0 6 UL II/III-IV
"AL 447_25" L RSD 38-41 3 1 0 1 5 TRANSLAMINAR II/III-IV-VI
"AL 447_26" L Vi 41-43 4 1 1 2 8 TRANSLAMINAR "II/III to VI"
"AL 447_30" L RSD 53-55 4 0 0 4 8 TRANSLAMINAR II/III-VI
"AL 454_2" R Cg 30-31 2 0 4 1 7 TRANSLAMINAR II/III-V-VI
"AL 454_3" R SS 31-33 0 3 2 2 7 TRANSLAMINAR "IV to VI"
"AL 454_6" R SS 41-42 0 0 0 3 3 LL VI
"AL 454_7" R RSG 43-46 1 0 3 0 4 TRANSLAMINAR II/III-V
"AL 454_8" R SS 46-49 3 5 1 3 12 TRANSLAMINAR "II/III to VI"
"AL 454_9" R M 47-48 3 0 0 0 3 UL II/III
"AL 454_13" R Vi 53 0 4 0 0 4 UL IV
"AL 454_15" R Au 63-66 6 1 0 1 8 TRANSLAMINAR II/III-IV-VI
"AL 515_1" R M 15-18 3 0 1 2 6 TRANSLAMINAR II/III-V-VI
"AL 515_2" R Cg 22-24 3 1 1 0 5 TRANSLAMINAR "II/III to V"
"AL 515_3" R SS 26-30 0 0 0 3 3 LL VI
"AL 515_4" R SS 35-37 6 2 3 1 12 TRANSLAMINAR "II/III to VI"
"AL 515_6" R RSD 45-46 5 0 0 0 5 UL II/III
"AL 515_7" L M 22-25 3 1 1 0 5 TRANSLAMINAR "II/III to V"
"AL 515_8" L Cg 23-25 1 0 2 1 4 TRANSLAMINAR II/III-V-VI
"AL 515_9" L M 31-32 3 0 0 0 3 UL II/III
"AL 515_10" L SS 36 0 0 1 2 3 LL V-VI
"AL 515_11" L Au 45 0 0 3 1 4 LL V-VI
"AL 534_1" R SS 25 0 3 0 0 3 UL IV
"AL 534_2" R M 25-28 3 1 1 2 7 TRANSLAMINAR "II/III to VI"
"AL 534_4" R SS 29-30 0 3 1 0 4 TRANSLAMINAR IV-V
"AL 534_6" R SS 36-37 1 3 1 2 7 TRANSLAMINAR "II/III to VI"
"AL 534_9" R Au 57-61 2 0 0 3 5 TRANSLAMINAR II/III-VI
"AL 534_11" R Vi 59-62 0 0 1 2 3 LL V-VI
"AL 534_12" R Vi 61-63 3 1 0 0 4 UL II/III-IV
"AL 534_14" L Cg 20-21 3 0 2 2 7 TRANSLAMINAR II/III-V-VI
"AL 534_15" L SS 25-27 0 2 2 1 5 TRANSLAMINAR "IV to VI"
"AL 534_16" L SS 26-28 2 1 0 0 3 UL II/III-IV
"AL 534_17" L Cg 31-33 2 0 1 2 5 TRANSLAMINAR II/III-V-VI
"AL 534_18" L M 31-34 4 1 2 2 9 TRANSLAMINAR "II/III to VI"
"AL 534_19" L Cg 33-35 3 1 1 1 6 TRANSLAMINAR "II/III to VI"
"AL 534_20" L SS 38-42 4 0 2 1 7 TRANSLAMINAR II/III-V-VI
"AL 534_21" L Vi 45-46 0 2 1 2 5 TRANSLAMINAR "IV to VI"
"AL 534_24" L Vi 55-56 0 5 1 0 6 TRANSLAMINAR IV-V
"AL 538_2" R SS 39-41 3 3 0 2 8 TRANSLAMINAR II/III-IV-VI
"AL 538_3" R SS 41-42 4 0 1 1 6 TRANSLAMINAR II/III-IV-VI
"AL 538_4" R SS 46-48 7 3 1 1 12 TRANSLAMINAR "II/III to VI"
"AL 538_5" R Vi 56-58 0 0 1 2 3 LL V-VI
"AL 538_6" L Cg 16-18 0 0 2 6 8 LL V-VI
"AL 538_7" L Cg 16-18 2 0 0 2 4 TRANSLAMINAR II/III-VI
"AL 538_9" L SS 35-36 0 3 2 0 5 TRANSLAMINAR IV-V
"AL 538_10" L Vi 45-46 5 1 2 1 9 TRANSLAMINAR "II/III to VI"
"AL 538_11" L Vi 49-50 0 3 1 0 4 TRANSLAMINAR IV-V
"AL 542_1" R SS 32-33 0 4 0 0 4 UL IV
"AL 542_2" R M 37-40 2 1 5 3 11 TRANSLAMINAR "II/III to VI"
"AL 542_3" R RSG 53-56 6 0 1 3 10 TRANSLAMINAR II/III-V-VI
"AL 542_4" L M 19-20 0 0 0 3 3 LL VI
"AL 542_5" L Cg 30-33 2 0 0 2 4 TRANSLAMINAR II/III-VI
"AL 542_7" L Vi 45-49 3 1 3 3 10 TRANSLAMINAR "II/III to VI"
"AL 543_1" R SS 29-31 0 3 0 1 4 TRANSLAMINAR IV-VI
"AL 543_2" R SS 30-31 0 2 3 0 5 TRANSLAMINAR IV-V
"AL 543_3" R SS 36-38 4 4 2 1 11 TRANSLAMINAR "II/III to VI"
"AL 543_4" R SS 41-42 0 4 0 1 5 TRANSLAMINAR IV-VI
"AL 543_11" L VM 35-36 3 1 2 0 6 TRANSLAMINAR "II/III to V"
"AL 543_11" L VM 35-36 3 1 1 0 5 TRANSLAMINAR "II/III to V"
"AL 543_12" L VM 50-51 6 1 2 0 9 TRANSLAMINAR "II/III to V"
"AL 569_1" R M 24-25 0 0 3 0 3 LL V
"AL 569_2" R Cg 29-33 2 2 2 1 7 TRANSLAMINAR "II/III to VI"
"AL 569_3" R SS 33-37 2 3 0 5 10 TRANSLAMINAR II/III-IV-VI
"AL 569_4" R SS 36-37 6 1 1 0 8 TRANSLAMINAR "II/III to V"
"AL 569_5" R M 40-42 4 2 0 2 8 TRANSLAMINAR II/III-IV-VI
"AL 569_6" R M 40-44 2 1 0 1 4 TRANSLAMINAR II/III-IV-VI
"AL 569_7" R SS 44-46 4 3 2 1 10 TRANSLAMINAR "II/III to VI"
"AL 569_8" R SS 48-49 5 1 0 3 9 TRANSLAMINAR II/III-IV-VI
"AL 569_10" R VM 58-60 2 3 0 1 6 TRANSLAMINAR II/III-IV-VI
"AL 569_11" R Vi 60-61 4 2 2 2 10 TRANSLAMINAR "II/III to VI"
"AL 569_13" L SS 22-24 0 2 1 1 4 TRANSLAMINAR "IV to VI"
"AL 569_14" L Cg 23-25 4 0 1 0 5 TRANSLAMINAR II/III-V
"AL 569_15" L SS 27-30 3 0 1 0 4 TRANSLAMINAR II/III-V
"AL 569_16" L SS 33-36 0 4 2 3 9 TRANSLAMINAR "IV to VI"
"AL 569_19" L SS2 33-37 2 0 3 3 8 TRANSLAMINAR II/III-V-VI
"AL 569_21" L SS 49-51 6 1 0 0 7 UL II/III-IV
"AL 569_22" L Vi 54-57 3 2 0 2 7 TRANSLAMINAR II/III-IV-VI
"AL 569_23" L Vi 60-62 2 2 1 1 6 TRANSLAMINAR "II/III to VI"
"AL 569_24" L Vi 62 0 2 2 0 4 TRANSLAMINAR IV-V
"AL 572_1" R SS 30-34 4 2 0 5 11 TRANSLAMINAR II/III-IV-VI
"AL 572_3" R SS2 45-46 0 0 0 4 4 LL VI
"AL 572_4" R SS 50-51 4 3 0 2 9 TRANSLAMINAR II/III-IV-VI
"AL 572_5" R Vi 55-56 2 3 0 3 8 TRANSLAMINAR II/III-IV-VI
"AL 572_6" R SS 56-58 3 4 1 2 10 TRANSLAMINAR "II/III to VI"
"AL 572_7" R Au 62-66 4 2 2 2 10 TRANSLAMINAR "II/III to VI"
"AL 572_8" R Vi 63-65 4 2 0 0 6 UL II/III-IV
"AL 572_9" R Au 66-67 0 0 0 3 3 LL VI
"AL 572_11" L M 17-22 1 2 2 1 6 TRANSLAMINAR "II/III to VI"
"AL 572_12" L SS 27 0 0 3 1 4 LL V-VI
"AL 572_14" L SS 32-35 2 1 3 0 6 TRANSLAMINAR "II/III to V"
"AL 572_15" L SS 33-37 0 10 2 0 12 TRANSLAMINAR IV-V
"AL 572_17" L RSG 37-39 0 0 3 0 3 LL V
"AL 572_18" L RSD 38-39 3 0 3 1 7 TRANSLAMINAR II/III-V-VI
"AL 572_19" L SS 39-40 2 2 4 0 8 TRANSLAMINAR "II/III to V"
"AL 572_20" L SS 40-42 5 1 1 1 8 TRANSLAMINAR "II/III to VI"
"AL 572_21" L SS 43-46 4 2 2 3 11 TRANSLAMINAR "II/III to VI"
"AL 572_24" L Au 48-50 0 0 3 2 5 LL V-VI
"AL 572_25" L RSD 54-58 5 1 3 1 10 TRANSLAMINAR "II/III to VI"
"AL 572_29" L Au 64 0 0 2 1 3 LL V-VI
"AL 682_1" L SS "12 to 13" 0 0 0 4 4 LL VI
"AL 682_2" L SS 27-31 3 2 0 2 7 TRANSLAMINAR II/III-IV-VI
"AL 682_3" L M 31-32 4 1 1 0 6 TRANSLAMINAR "II/III to V"
"AL 682_7" R Cg 24-26 3 0 2 0 5 TRANSLAMINAR II/III-V
"AL 682_8" R SS 25-27 5 1 0 2 8 TRANSLAMINAR II/III-IV-VI
"AL 682_9" R SS 26-27 2 2 0 3 7 TRANSLAMINAR II/III-IV-VI
"AL 682_10" R Cg 26-30 1 0 4 3 8 TRANSLAMINAR II/III-V-VI
"AL 682_11" R Cg 28-31 5 0 2 1 8 TRANSLAMINAR II/III-V-VI
"AL 682_12" R SS 29-31 3 2 2 2 9 TRANSLAMINAR "II/III to VI"
"AL 682_14" R SS 38 0 0 5 0 5 LL V
"AL 682_15" R Au 39-42 2 1 4 2 9 TRANSLAMINAR "II/III to VI"
"AL 682_16" R SS 46-47 0 7 0 2 9 TRANSLAMINAR IV-VI
"AL 682_17" R Vi 49-50 0 4 0 0 4 UL IV
"AL 692_1" R Cg 22-25 4 0 1 1 6 TRANSLAMINAR II/III-V-VI
"AL 692_4" R SS 42-43 3 0 3 0 6 TRANSLAMINAR II/III-V
"AL 692_6" R SS 44-45 1 1 0 1 3 TRANSLAMINAR II/III-IV-VI
"AL 692_8" R VM 48-51 2 1 0 2 5 TRANSLAMINAR II/III-IV-VI
"AL 692_9" R SS 50-51 1 3 0 3 7 TRANSLAMINAR II/III-IV-VI
"AL 692_10" R Vi 52-53 1 0 0 2 3 TRANSLAMINAR II/III-VI
"AL 692_12" R Au 55-60 0 0 1 6 7 LL V-VI
"AL 723_1" L SS 34-36 0 6 0 6 12 TRANSLAMINAR IV-VI
"AL 723_2" L M 36-37 0 0 1 2 3 LL V-VI
"AL 723_3" L SS 38-41 4 2 1 1 8 TRANSLAMINAR "II/III to VI"
"AL 723_4" L SS 40-43 6 1 2 2 12 TRANSLAMINAR "II/III to VI"
"AL 723_5" L M 40-44 3 0 1 6 10 TRANSLAMINAR II/III-V-VI
"AL 723_6" L SS 41-44 4 2 0 0 6 UL II/III-IV
"AL 723_7" L SS 42-43 3 2 2 3 10 TRANSLAMINAR "II/III to VI"
"AL 723_8" L SS 43-46 4 0 3 3 10 TRANSLAMINAR II/III-V-VI
"AL 723_9" L RSG 46-50 1 0 2 1 4 TRANSLAMINAR II/III-V-VI
"AL 723_11" L SS 51-54 2 3 1 4 10 TRANSLAMINAR "II/III to VI"
"AL 723_14" L Vi 60-61 2 1 3 0 6 TRANSLAMINAR "II/III to V"
"AL 723_15" L Vi 60-62 2 1 0 0 3 UL II/III-IV
"AL 724_1" R SS 21-23 2 2 3 0 7 TRANSLAMINAR "II/III to V"
"AL 724_2" R Cg 30-31 2 0 2 0 4 TRANSLAMINAR II/III-V
"AL 724_3" R VM 56-57 3 0 3 1 7 TRANSLAMINAR II/III-V
"AL 724_5" L SS 22-23 0 0 0 4 4 LL VI
"AL 724_6" L Cg 24-28 1 0 1 1 3 TRANSLAMINAR II/III-V-VI
"AL 724_7" L M 32 0 0 1 2 3 LL V-VI
"AL 724_8" L SS 45-47 3 3 2 0 8 TRANSLAMINAR "II/III to V"
"AL 724_9" L Vi 49-51 2 2 0 0 4 UL II/III-IV
"AL 724_10" L VM 58-60 2 0 0 1 3 TRANSLAMINAR II/III-VI
"AL 728_2" R SS 37-38 2 1 0 2 5 TRANSLAMINAR II/III-IV-VI
"AL 728_3" R RSD 44-46 2 0 1 0 3 TRANSLAMINAR II/III-V
"AL 728_4" L Cg 26-28 3 0 4 2 9 TRANSLAMINAR II/III-V-VI
"AL 728_5" L Cg 31-33 5 0 2 5 12 TRANSLAMINAR II/III-V-VI
