"clone ID" Hemisphere area Slice II/III IV V VI Total Type Layers
"AL 350_2" R SS 24-26 4 2 0 0 6 UL II/III-IV
"AL 350_3'" R SS 30-31 8 0 0 0 8 UL II/III
"AL 350_4" R SS 31-35 4 1 1 1 7 TRANSLAMINAR "II/III to VI"
"AL 350_7" R SS 50-52 3 3 0 1 7 TRANSLAMINAR II/III-IV-VI
"AL 350_9" R Au 53-55 1 1 1 1 4 TRANSLAMINAR "II/III to VI"
"AL 350_10" R Vi 58 0 3 0 1 4 TRANSLAMINAR IV-VI
"AL 350_11" R RSD 60-65 3 0 1 3 7 TRANSLAMINAR II/III-V-VI
AL364_17 L M 14-19 4 3 2 2 11 TRANSLAMINAR "II/III to VI"
AL364_18 L SS 22 0 3 0 1 4 TRANSLAMINAR IV-VI
AL364_19 L Cg 26-30 2 2 0 3 7 TRANSLAMINAR II/III-IV-VI
AL364_20 L M 32-34 1 3 4 1 9 TRANSLAMINAR "II/III to VI"
AL364_21 L SS 35 1 0 0 7 8 TRANSLAMINAR II/III-VI
AL364_23 L M 37-40 2 1 1 2 6 TRANSLAMINAR "II/III to VI"
AL364_24 L Vi 50-51 4 0 0 2 6 TRANSLAMINAR II/III-VI
AL364_27 L Au 56-60 4 0 2 3 9 TRANSLAMINAR II/III-V-VI
"AL 366_1" L M 26-31 0 4 0 2 6 TRANSLAMINAR IV-VI
"AL 366_2" L Cg 30-35 5 2 3 0 10 TRANSLAMINAR "II/III to V"
"AL 366_3" L SS 32-35 0 3 2 4 9 TRANSLAMINAR "IV to VI"
"AL 366_3'" L SS 35-38 2 2 0 1 5 TRANSLAMINAR II/III-IV-VI
"AL 366_4" L SS 42-44 3 2 2 1 8 TRANSLAMINAR "II/III to VI"
"AL 366_7" L RSD 57-60 0 0 0 3 3 LL VI
"AL 366_8" L Au 59-64 3 1 1 1 6 TRANSLAMINAR "II/III to VI"
"AL 362_2" R M 31-33 3 1 2 3 9 TRANSLAMINAR "II/III to VI"
"AL 362_6" R Au 54-60 2 1 2 4 9 TRANSLAMINAR "II/III to VI"
"AL 362_8" R Vi 64-65 2 2 0 0 4 UL II/III-IV
"AL 362_13" L M 37-40 5 2 2 1 10 TRANSLAMINAR "II/III to VI"
"AL 362_14" L SS 39-41 3 1 0 2 6 TRANSLAMINAR II/III-IV-VI
"AL 362_15" L RSD 51 1 2 0 1 4 TRANSLAMINAR II/III-IV-VI
"AL 374_1" L SS 19 0 0 0 3 3 LL VI
"AL 374_2" L SS 20-23 1 3 0 0 4 UL II/III-IV
"AL 374_3" L Cg 25-28 0 0 1 3 4 LL V-VI
"AL 374_4" L SS 29-32 1 5 2 3 11 TRANSLAMINAR "II/III to VI"
"AL 374_7" L SS 35-37 0 2 0 2 4 TRANSLAMINAR IV-VI
"AL 374_8" L Cg 36-38 6 0 2 1 9 TRANSLAMINAR II/III-V-VI
"AL 374_9" L Vi 37-39 4 1 1 1 7 TRANSLAMINAR "II/III to VI"
"AL 374_11" L Au 43-46 0 0 1 2 3 LL V-VI
"AL 374_13" L Vi 50-52 4 2 1 4 11 TRANSLAMINAR "II/III to VI"
"AL 374_15" L Vi 61-63 2 3 1 0 6 TRANSLAMINAR "II/III to V"
"AL 374_16" L Vi 63-64 0 3 1 0 4 TRANSLAMINAR "II/III to V"
"AL 374_18" R SS 19-23 1 5 2 0 8 TRANSLAMINAR "II/III to V"
"AL 374_19" R M 21-23 0 3 0 2 5 TRANSLAMINAR IV-VI
"AL 374_21" R M 31-35 0 1 1 1 3 TRANSLAMINAR "IV to VI"
"AL 374_24" R RSG 41-43 2 0 1 0 3 TRANSLAMINAR II/III-V-VI
"AL 374_25" R M 40-43 4 1 0 2 7 TRANSLAMINAR II/III-IV-VI
"AL 374_26" R SS 41-42 2 2 0 0 4 UL II/III-IV
"AL 374_29" R SS 53-56 4 5 0 3 12 TRANSLAMINAR II/III-IV-VI
"AL 374_30" R Vi 57 3 1 0 5 9 TRANSLAMINAR II/III-IV-VI
"AL 374_32" R Au 62-67 1 1 1 1 4 TRANSLAMINAR "II/III to VI"
"AL 384_1" R Cg 21-24 2 0 2 1 5 TRANSLAMINAR II/III-V-VI
"AL 384_3" R M 30-32 3 2 0 3 8 TRANSLAMINAR II/III-IV-VI
"AL 384_4" L SS 31-32 0 4 3 1 8 TRANSLAMINAR "IV to VI"
"AL 384_5" R SS 32-36 0 3 3 2 8 TRANSLAMINAR "IV to VI"
"AL 384_8" L RSD 56-59 9 0 2 0 11 TRANSLAMINAR II/III-V
"AL 384_9" R Vi 57-59 0 0 0 3 3 LL VI
"AL 384_10" L VM 59-60 5 0 2 0 7 TRANSLAMINAR II/III-V
"AL 387_2" L Cg 29-31 3 1 0 2 6 TRANSLAMINAR II/III-IV-VI
"AL 387_3" L Cg 32-33 2 1 3 2 8 TRANSLAMINAR "II/III to VI"
"AL 387_5" L SS 41-43 3 3 0 0 6 UL II/III-IV
"AL 387_6" L SS 45-47 2 3 0 1 6 TRANSLAMINAR II/III-IV-VI
"AL 387_7" L SS 46-47 0 3 1 0 4 TRANSLAMINAR IV-V
"AL 387_9" L RSG 47-50 6 0 2 0 8 TRANSLAMINAR II/III-V
"AL 387_12" L Vi 56-57 4 2 2 1 9 TRANSLAMINAR "II/III to VI"
"AL 387_14" L Vi 60-61 2 1 0 4 7 TRANSLAMINAR II/III-IV-VI
"AL 387_16" L Vi 69-71 4 4 0 0 8 UL II/III-IV
"AL 403_1" R Cg 13-17 2 0 4 1 7 TRANSLAMINAR II/III-V-VI
"AL 403_2" R M 14-17 4 1 1 1 7 TRANSLAMINAR "II/III to VI"
"AL 403_4" L SS 16-21 1 1 3 1 6 TRANSLAMINAR "II/III to VI"
"AL 403_5" L SS 18 2 1 0 0 3 UL II/III-IV
"AL 403_6" L M 18-21 4 1 1 2 8 TRANSLAMINAR "II/III to VI"
"AL 403_7" L SS 19-22 1 2 6 2 11 TRANSLAMINAR "II/III to VI"
"AL 403_11" L SS 28-33 2 2 1 3 8 TRANSLAMINAR "II/III to VI"
"AL 403_12" L SS 37-38 0 0 1 3 4 LL V-VI
"AL 403_14" R SS 38-42 5 4 0 1 10 TRANSLAMINAR II/III-IV-VI
"AL 403_15" R SS 40-41 2 0 2 2 6 TRANSLAMINAR II/III-V-VI
"AL 403_16" L SS 41-42 0 4 0 4 8 TRANSLAMINAR IV-VI
"AL 403_17" L SS 43-44 2 2 2 2 8 TRANSLAMINAR "II/III to VI"
"AL 403_18" L SS 41 0 0 0 3 3 LL VI
"AL 403_19" R SS 42-43 5 2 0 2 9 TRANSLAMINAR II/III-IV-VI
"AL 403_21" L Vi 53-56 4 2 1 1 8 TRANSLAMINAR "II/III to VI"
"AL 403_22" R Vi 53-54 1 3 0 0 4 UL II/III-IV
"AL 403_24" R VM 59 2 2 3 0 7 TRANSLAMINAR "II/III to V"
"AL 404_2" R Cg 25-26 9 0 1 0 10 TRANSLAMINAR II/III-V
"AL 404_3" R M 32-35 0 0 2 1 3 LL V-VI
"AL 405_1" R Cg 26-29 3 2 1 1 7 TRANSLAMINAR "II/III to VI"
"AL 405_2" L RSD 37-39 1 1 2 1 5 TRANSLAMINAR "II/III to VI"
"AL 405_3" L VM 55-56 7 1 1 0 9 TRANSLAMINAR "II/III to V"
"AL 405_4" ? Vi 66-67 1 2 0 0 3 UL II/III-IV
"AL 405_5" L Au 67-69 0 0 0 3 3 LL VI
"AL 407_3" R M 22-27 6 3 1 2 12 TRANSLAMINAR "II/III to VI"
"AL 407_4" R SS 28-32 2 1 0 2 5 TRANSLAMINAR II/III-IV-VI
