"clone ID" Hemisphere area Slice II/III IV V VI Total Type Layers
"AL 692_9" R SS 50-51 1 3 0 3 7 TRANSLAMINAR II/III-IV-VI
"AL 723_1" L SS 34-36 0 6 0 6 12 TRANSLAMINAR IV-VI
"AL 723_3" L SS 38-41 4 2 1 1 8 TRANSLAMINAR "II/III to VI"
"AL 723_4" L SS 40-43 6 1 2 2 11 TRANSLAMINAR "II/III to VI"
"AL 723_6" L SS 41-44 4 2 0 0 6 UL II/II-IV
"AL 723_7" L SS 42-43 3 2 2 3 10 TRANSLAMINAR "II/III to VI"
"AL 723_8" L SS 43-46 4 0 3 3 10 TRANSLAMINAR II/III-V-VI
"AL 723_11" L SS 51-54 2 3 1 4 10 TRANSLAMINAR "II/III to VI"
"AL 724_1" R SS 21-23 2 2 3 0 7 TRANSLAMINAR "II/III to V"
"AL 724_5" L SS 22-23 0 0 0 4 4 LL VI
"AL 724_8" L SS 45-47 3 3 2 0 8 TRANSLAMINAR "II/III to V"
"AL 728_2" R SS 37-38 2 1 0 2 5 TRANSLAMINAR II/III-IV-VI
