"clone ID" Hemisphere area Slice II/III IV V VI Total Type Layers
"AL 350_2" R SS 24-26 4 2 0 0 6 UL II/III-IV
"AL 350_3" R SS 30-31 8 0 0 0 8 UL II/III
"AL 350_4" R SS 31-35 4 1 1 1 7 TRANSLAMINAR "II/III to VI"
"AL 350_7" R SS 50-52 3 3 0 1 7 TRANSLAMINAR II/III-IV-VI
AL364_18 L SS 22 0 3 0 1 4 TRANSLAMINAR IV-VI
AL364_21 L SS 35 1 0 0 7 8 TRANSLAMINAR II/III-VI
"AL 366_3" L SS 32-35 0 3 2 4 9 TRANSLAMINAR "IV to VI"
"AL 366_3'" L SS 35-38 2 2 0 1 5 TRANSLAMINAR II/III-IV-VI
"AL 366_4" L SS 42-44 3 2 2 1 8 TRANSLAMINAR "II/III to VI"
"AL 362_14" L SS 39-41 3 1 0 2 6 TRANSLAMINAR II/III-IV-VI
"AL 374_1" L SS 19 0 0 0 3 3 LL VI
"AL 374_2" L SS 20-23 1 3 0 0 4 UL II/III-IV
"AL 374_4" L SS 29-32 1 5 2 3 11 TRANSLAMINAR "II/III to VI"
"AL 374_7" L SS 35-37 0 2 0 2 4 TRANSLAMINAR IV-VI
"AL 374_18" R SS 19-23 1 5 2 0 8 TRANSLAMINAR "II/III to V"
"AL 374_26" R SS 41-42 2 2 0 0 4 UL II/III-IV
"AL 374_29" R SS 53-56 4 5 0 3 12 TRANSLAMINAR II/III-IV-VI
"AL 384_4" L SS 31-32 0 4 3 1 8 TRANSLAMINAR "IV to VI"
"AL 384_5" R SS 32-36 0 3 3 2 8 TRANSLAMINAR "IV to VI"
"AL 387_5" L SS 41-43 3 3 0 0 6 UL II/III-IV
"AL 387_6" L SS 45-47 2 3 0 1 6 TRANSLAMINAR II/III-IV-VI
"AL 387_7" L SS 46-47 0 3 1 0 4 TRANSLAMINAR IV-V
"AL 403_4" L SS 16-21 1 1 3 1 6 TRANSLAMINAR "II/III to VI"
"AL 403_5" L SS 18 2 1 0 0 3 UL II/III-IV
"AL 403_7" L SS 19-22 1 2 6 2 11 TRANSLAMINAR "II/III to VI"
"AL 403_11" L SS 28-33 2 2 1 3 8 TRANSLAMINAR "II/III to VI"
"AL 403_12" L SS 37-38 0 0 1 3 4 LL V-VI
"AL 403_14" R SS 38-42 5 4 0 1 10 TRANSLAMINAR II/III-IV-VI
"AL 403_15" R SS 40-41 2 0 2 2 6 TRANSLAMINAR II/III-V-VI
"AL 403_16" L SS 41-42 0 4 0 4 8 TRANSLAMINAR IV-VI
"AL 403_17" L SS 43-44 2 2 2 2 8 TRANSLAMINAR "II/III to VI"
"AL 403_18" L SS 41 0 0 0 3 3 LL VI
"AL 403_19" R SS 42-43 5 2 0 2 9 TRANSLAMINAR II/III-IV-VI
"AL 407_4" R SS 28-32 2 1 0 2 5 TRANSLAMINAR II/III-IV-VI
"AL 407_8" R SS 41-45 0 4 0 5 9 TRANSLAMINAR IV-VI
"AL 407_11" R SS 56-57 3 0 1 3 7 TRANSLAMINAR II/III-V-VI
"AL 447_5" R SS 25-27 3 1 0 4 8 TRANSLAMINAR II/III-IV-VI
"AL 447_6" R SS 26-28 0 2 1 1 4 TRANSLAMINAR "IV to VI"
"AL 447_10" R SS 39-40 6 2 0 0 8 UL II/III-IV
"AL 447_15" L SS 21-22 0 0 0 3 3 LL VI
"AL 447_16" L SS 23-25 1 3 2 3 9 TRANSLAMINAR "II/III to VI"
"AL 447_17" L SS 23-27 2 3 1 0 6 TRANSLAMINAR "II/III to V"
"AL 447_22" L SS 30-33 3 2 0 2 7 TRANSLAMINAR II/III-IV-VI
"AL 447_23" L SS 35-39 3 3 2 3 11 TRANSLAMINAR "II/III to VI"
"AL 454_3" R SS 31-33 0 3 2 2 7 TRANSLAMINAR "IV to VI"
"AL 454_6" R SS 41-42 0 0 0 3 3 LL VI
"AL 454_8" R SS 46-49 3 5 1 3 12 TRANSLAMINAR "II/III to VI"
"AL 515_3" R SS 26-30 0 0 0 3 3 LL VI
"AL 515_4" R SS 35-37 6 2 3 1 12 TRANSLAMINAR "II/III to VI"
"AL 515_10" L SS 36 0 0 1 2 3 LL V-VI
"AL 534_1" R SS 25 0 3 0 0 3 UL IV
"AL 534_4" R SS 29-30 0 3 1 0 4 TRANSLAMINAR IV-V
"AL 534_6" R SS 36-37 1 3 1 2 7 TRANSLAMINAR "II/III to VI"
"AL 534_15" L SS 25-27 0 2 2 1 5 TRANSLAMINAR "IV to VI"
"AL 534_16" L SS 26-28 2 1 0 0 3 UL II/III-IV
"AL 534_20" L SS 38-42 4 0 2 1 7 TRANSLAMINAR II/III-V-VI
"AL 538_2" R SS 39-41 3 3 0 2 8 TRANSLAMINAR II/III-IV-VI
"AL 538_3" R SS 41-42 4 0 1 1 6 TRANSLAMINAR II/III-V-VI
"AL 538_4" R SS 46-48 7 3 1 1 12 TRANSLAMINAR "II/III to VI"
"AL 538_9" L SS 35-36 0 3 2 0 5 TRANSLAMINAR IV-V
"AL 542_1" R SS 32-33 0 4 0 0 4 UL IV
"AL 543_1" R SS 29-31 0 3 0 1 4 TRANSLAMINAR IV-VI
"AL 543_2" R SS 30-31 0 2 3 0 5 TRANSLAMINAR IV-V
"AL 543_3" R SS 36-38 4 4 2 1 11 TRANSLAMINAR "II/III to VI"
"AL 543_4" R SS 41-42 0 4 0 1 5 TRANSLAMINAR IV-VI
"AL 569_3" R SS 33-37 1 3 0 5 9 TRANSLAMINAR II/III-IV-VI
"AL 569_4" R SS 36-37 6 1 1 0 8 TRANSLAMINAR "II/III to V"
"AL 569_7" R SS 44-46 4 3 2 1 10 TRANSLAMINAR "II/III to VI"
"AL 569_8" R SS 48-49 5 1 0 3 9 TRANSLAMINAR II/III-IV-VI
"AL 569_13" L SS 22-24 0 2 1 1 4 TRANSLAMINAR "IV to VI"
"AL 569_15" L SS 28-31 2 0 1 0 3 TRANSLAMINAR II/III-V
"AL 569_16" L SS 33-36 0 4 2 3 9 TRANSLAMINAR "IV to VI"
"AL 569_21" L SS 49-51 6 1 0 0 7 UL II/III-IV
"AL 572_1" R SS 30-34 4 2 0 5 11 TRANSLAMINAR II/III-IV-VI
"AL 572_4" R SS 50-51 4 3 0 2 9 TRANSLAMINAR II/III-IV-VI
"AL 572_6" R SS 56-58 3 4 1 2 10 TRANSLAMINAR "II/III to VI"
"AL 572_12" L SS 27 0 0 3 1 4 LL V-VI
"AL 572_14" L SS 32-35 2 1 3 0 6 TRANSLAMINAR "II/III to V"
"AL 572_15" L SS 33-37 0 10 2 0 12 TRANSLAMINAR IV-V
"AL 572_19" L SS 39-40 2 2 4 0 8 TRANSLAMINAR "II/III to V"
"AL 572_20" L SS 40-42 5 1 1 1 8 TRANSLAMINAR "II/III to VI"
"AL 572_21" L SS 43-46 4 2 2 3 11 TRANSLAMINAR "II/III to VI"
"AL 682_1" L SS "12 to 13" 0 0 0 4 4 LL VI
"AL 682_2" L SS 27-31 3 2 0 2 7 TRANSLAMINAR II/III-IV-VI
"AL 682_8" R SS 25-27 5 1 0 2 8 TRANSLAMINAR II/III-IV-VI
"AL 682_9" R SS 26-27 2 2 0 3 7 TRANSLAMINAR II/III-IV-VI
"AL 682_12" R SS 29-31 3 2 2 2 9 TRANSLAMINAR "II/III to VI"
"AL 682_14" R SS 38 0 0 5 0 5 LL V
"AL 682_16" R SS 46-47 0 7 0 2 9 TRANSLAMINAR IV-VI
"AL 692_4" R SS 42-43 3 0 3 0 6 TRANSLAMINAR II/III-V
"AL 692_6" R SS 44-45 1 1 0 1 3 TRANSLAMINAR II/III-IV-VI
